id_citoyen,id_consultation,date_participation,avis,vote
41,1,2024-01-28 00:00:00,Quelques réserves sur la mise en œuvre,abstention
15,1,2024-01-21 00:00:00,Nécessite plus de concertation,abstention
30,1,2024-02-02 00:00:00,Important pour notre avenir écologique,contre
44,1,2024-01-30 00:00:00,Important pour notre avenir écologique,neutre
14,1,2024-02-12 00:00:00,"Très bonne idée, à développer davantage",pour
29,1,2024-01-24 00:00:00,Nécessite plus de concertation,neutre
5,1,2024-01-21 00:00:00,Nécessite plus de concertation,contre
17,1,2024-01-20 00:00:00,Quelques réserves sur la mise en œuvre,pour
39,1,2024-02-11 00:00:00,Je soutiens pleinement ce projet,pour
42,1,2024-02-13 00:00:00,Je soutiens pleinement ce projet,neutre
37,1,2024-02-08 00:00:00,"Très bonne idée, à développer davantage",pour
27,1,2024-02-11 00:00:00,Je soutiens pleinement ce projet,abstention
43,1,2024-02-02 00:00:00,Je soutiens pleinement ce projet,neutre
34,1,2024-01-21 00:00:00,Quelques réserves sur la mise en œuvre,contre
9,1,2024-02-01 00:00:00,"Très bonne idée, à développer davantage",abstention
23,1,2024-01-23 00:00:00,Important pour notre avenir écologique,neutre
22,1,2024-01-29 00:00:00,Nécessite plus de concertation,abstention
36,1,2024-01-15 00:00:00,Je soutiens pleinement ce projet,pour
2,1,2024-01-16 00:00:00,Je soutiens pleinement ce projet,neutre
24,1,2024-01-18 00:00:00,Excellente initiative pour notre ville,pour
25,1,2024-02-10 00:00:00,Quelques réserves sur la mise en œuvre,neutre
26,1,2024-02-05 00:00:00,Excellente initiative pour notre ville,contre
18,1,2024-02-04 00:00:00,Nécessite plus de concertation,neutre
21,1,2024-02-13 00:00:00,Important pour notre avenir écologique,abstention
46,1,2024-02-10 00:00:00,Excellente initiative pour notre ville,pour
13,1,2024-01-25 00:00:00,Quelques réserves sur la mise en œuvre,pour
3,1,2024-01-24 00:00:00,Important pour notre avenir écologique,contre
38,1,2024-01-22 00:00:00,Je soutiens pleinement ce projet,pour
49,1,2024-01-26 00:00:00,Quelques réserves sur la mise en œuvre,contre
28,1,2024-01-24 00:00:00,Excellente initiative pour notre ville,pour
10,2,2024-03-16 00:00:00,Je soutiens pleinement ce projet,abstention
27,2,2024-03-17 00:00:00,"Très bonne idée, à développer davantage",contre
34,2,2024-03-19 00:00:00,Important pour notre avenir écologique,neutre
16,2,2024-03-19 00:00:00,Quelques réserves sur la mise en œuvre,pour
20,2,2024-03-28 00:00:00,Excellente initiative pour notre ville,pour
11,2,2024-03-11 00:00:00,Je soutiens pleinement ce projet,pour
47,2,2024-03-13 00:00:00,Je soutiens pleinement ce projet,contre
45,2,2024-03-07 00:00:00,"Très bonne idée, à développer davantage",abstention
22,2,2024-03-27 00:00:00,Excellente initiative pour notre ville,pour
38,2,2024-03-04 00:00:00,Quelques réserves sur la mise en œuvre,contre
43,2,2024-03-15 00:00:00,"Très bonne idée, à développer davantage",pour
17,2,2024-03-07 00:00:00,Je soutiens pleinement ce projet,neutre
19,2,2024-03-12 00:00:00,Nécessite plus de concertation,neutre
25,2,2024-03-03 00:00:00,Quelques réserves sur la mise en œuvre,contre
37,2,2024-03-09 00:00:00,Nécessite plus de concertation,pour
1,3,2024-04-21 00:00:00,Quelques réserves sur la mise en œuvre,pour
17,3,2024-04-25 00:00:00,Quelques réserves sur la mise en œuvre,neutre
6,3,2024-05-07 00:00:00,Nécessite plus de concertation,contre
45,3,2024-04-11 00:00:00,Nécessite plus de concertation,pour
26,3,2024-04-19 00:00:00,"Très bonne idée, à développer davantage",contre
39,3,2024-04-22 00:00:00,Quelques réserves sur la mise en œuvre,contre
5,3,2024-05-07 00:00:00,Je soutiens pleinement ce projet,abstention
19,3,2024-04-26 00:00:00,Excellente initiative pour notre ville,contre
50,3,2024-05-03 00:00:00,Je soutiens pleinement ce projet,neutre
12,3,2024-04-21 00:00:00,"Très bonne idée, à développer davantage",abstention
38,3,2024-05-06 00:00:00,Excellente initiative pour notre ville,contre
4,3,2024-05-07 00:00:00,"Très bonne idée, à développer davantage",neutre
3,3,2024-05-01 00:00:00,Je soutiens pleinement ce projet,abstention
18,3,2024-04-25 00:00:00,Quelques réserves sur la mise en œuvre,pour
24,3,2024-04-22 00:00:00,Excellente initiative pour notre ville,contre
10,3,2024-04-30 00:00:00,Important pour notre avenir écologique,neutre
23,3,2024-04-30 00:00:00,Quelques réserves sur la mise en œuvre,neutre
20,3,2024-05-07 00:00:00,Je soutiens pleinement ce projet,pour
8,3,2024-05-03 00:00:00,"Très bonne idée, à développer davantage",contre
49,3,2024-05-01 00:00:00,Important pour notre avenir écologique,abstention
31,3,2024-04-11 00:00:00,Nécessite plus de concertation,contre
47,3,2024-04-19 00:00:00,Important pour notre avenir écologique,contre
37,3,2024-04-25 00:00:00,Important pour notre avenir écologique,abstention
42,3,2024-05-02 00:00:00,"Très bonne idée, à développer davantage",pour
32,3,2024-04-23 00:00:00,Nécessite plus de concertation,neutre
11,4,2024-06-23 00:00:00,Nécessite plus de concertation,contre
35,4,2024-06-01 00:00:00,Important pour notre avenir écologique,contre
28,4,2024-06-10 00:00:00,"Très bonne idée, à développer davantage",contre
48,4,2024-06-06 00:00:00,Quelques réserves sur la mise en œuvre,abstention
31,4,2024-06-20 00:00:00,Quelques réserves sur la mise en œuvre,contre
6,4,2024-06-29 00:00:00,"Très bonne idée, à développer davantage",abstention
25,4,2024-06-30 00:00:00,Important pour notre avenir écologique,pour
10,4,2024-06-12 00:00:00,Quelques réserves sur la mise en œuvre,neutre
5,4,2024-06-26 00:00:00,Important pour notre avenir écologique,pour
32,4,2024-06-24 00:00:00,Important pour notre avenir écologique,pour
20,4,2024-06-25 00:00:00,Excellente initiative pour notre ville,abstention
17,4,2024-06-03 00:00:00,Excellente initiative pour notre ville,abstention
7,4,2024-06-07 00:00:00,Je soutiens pleinement ce projet,neutre
36,4,2024-06-05 00:00:00,Excellente initiative pour notre ville,neutre
45,4,2024-06-24 00:00:00,Important pour notre avenir écologique,abstention
34,4,2024-06-19 00:00:00,Je soutiens pleinement ce projet,abstention
30,4,2024-06-17 00:00:00,Nécessite plus de concertation,contre
13,4,2024-06-01 00:00:00,Je soutiens pleinement ce projet,neutre
50,4,2024-06-20 00:00:00,"Très bonne idée, à développer davantage",contre
1,4,2024-06-04 00:00:00,Quelques réserves sur la mise en œuvre,neutre
24,4,2024-06-13 00:00:00,Important pour notre avenir écologique,neutre
29,5,2024-08-22 00:00:00,Quelques réserves sur la mise en œuvre,pour
31,5,2024-08-23 00:00:00,Nécessite plus de concertation,abstention
44,5,2024-08-19 00:00:00,"Très bonne idée, à développer davantage",abstention
8,5,2024-09-15 00:00:00,Je soutiens pleinement ce projet,neutre
43,5,2024-08-15 00:00:00,Quelques réserves sur la mise en œuvre,pour
40,5,2024-09-13 00:00:00,Quelques réserves sur la mise en œuvre,abstention
26,5,2024-09-09 00:00:00,Excellente initiative pour notre ville,pour
47,5,2024-08-18 00:00:00,Important pour notre avenir écologique,pour
27,5,2024-09-03 00:00:00,"Très bonne idée, à développer davantage",pour
12,5,2024-09-07 00:00:00,Quelques réserves sur la mise en œuvre,abstention
5,5,2024-09-12 00:00:00,Nécessite plus de concertation,contre
45,5,2024-08-19 00:00:00,Important pour notre avenir écologique,abstention
2,5,2024-09-02 00:00:00,Je soutiens pleinement ce projet,pour
42,5,2024-08-25 00:00:00,Nécessite plus de concertation,abstention
24,5,2024-09-05 00:00:00,Je soutiens pleinement ce projet,abstention
18,5,2024-08-18 00:00:00,"Très bonne idée, à développer davantage",pour
37,5,2024-08-19 00:00:00,Nécessite plus de concertation,pour
16,5,2024-08-18 00:00:00,Excellente initiative pour notre ville,contre
14,5,2024-08-31 00:00:00,Je soutiens pleinement ce projet,contre
20,5,2024-09-08 00:00:00,Nécessite plus de concertation,pour
32,5,2024-09-11 00:00:00,Quelques réserves sur la mise en œuvre,abstention
21,5,2024-08-31 00:00:00,"Très bonne idée, à développer davantage",pour
36,5,2024-08-22 00:00:00,Je soutiens pleinement ce projet,abstention
7,5,2024-09-02 00:00:00,Quelques réserves sur la mise en œuvre,pour
48,5,2024-09-07 00:00:00,Nécessite plus de concertation,contre
25,5,2024-09-04 00:00:00,Nécessite plus de concertation,abstention
35,5,2024-08-22 00:00:00,"Très bonne idée, à développer davantage",contre
27,6,2024-10-12 00:00:00,"Très bonne idée, à développer davantage",pour
29,6,2024-10-15 00:00:00,Quelques réserves sur la mise en œuvre,pour
46,6,2024-10-28 00:00:00,"Très bonne idée, à développer davantage",pour
17,6,2024-10-30 00:00:00,Important pour notre avenir écologique,pour
4,6,2024-10-16 00:00:00,Quelques réserves sur la mise en œuvre,abstention
32,6,2024-10-23 00:00:00,Je soutiens pleinement ce projet,neutre
42,6,2024-10-27 00:00:00,Quelques réserves sur la mise en œuvre,neutre
21,6,2024-10-22 00:00:00,"Très bonne idée, à développer davantage",contre
11,6,2024-10-01 00:00:00,Quelques réserves sur la mise en œuvre,pour
40,6,2024-10-30 00:00:00,"Très bonne idée, à développer davantage",abstention
43,6,2024-10-17 00:00:00,Je soutiens pleinement ce projet,contre
7,6,2024-10-26 00:00:00,Nécessite plus de concertation,abstention
24,6,2024-10-04 00:00:00,Important pour notre avenir écologique,contre
18,6,2024-10-06 00:00:00,"Très bonne idée, à développer davantage",contre
5,6,2024-10-23 00:00:00,Important pour notre avenir écologique,pour
45,6,2024-10-21 00:00:00,"Très bonne idée, à développer davantage",pour
16,6,2024-10-27 00:00:00,Nécessite plus de concertation,abstention
50,6,2024-10-10 00:00:00,"Très bonne idée, à développer davantage",contre
38,6,2024-10-25 00:00:00,"Très bonne idée, à développer davantage",abstention
41,6,2024-10-23 00:00:00,Je soutiens pleinement ce projet,contre
33,6,2024-10-01 00:00:00,Je soutiens pleinement ce projet,neutre
1,6,2024-10-12 00:00:00,Excellente initiative pour notre ville,neutre
39,6,2024-10-31 00:00:00,Je soutiens pleinement ce projet,pour
36,6,2024-10-18 00:00:00,Quelques réserves sur la mise en œuvre,contre
31,6,2024-10-22 00:00:00,Je soutiens pleinement ce projet,pour
20,6,2024-10-30 00:00:00,Important pour notre avenir écologique,pour
38,7,2024-11-20 00:00:00,"Très bonne idée, à développer davantage",abstention
27,7,2024-11-17 00:00:00,Nécessite plus de concertation,abstention
18,7,2024-11-06 00:00:00,Excellente initiative pour notre ville,neutre
15,7,2024-11-08 00:00:00,Nécessite plus de concertation,pour
11,7,2024-11-30 00:00:00,Excellente initiative pour notre ville,pour
14,7,2024-11-06 00:00:00,"Très bonne idée, à développer davantage",abstention
37,7,2024-11-25 00:00:00,Quelques réserves sur la mise en œuvre,neutre
4,7,2024-11-02 00:00:00,Excellente initiative pour notre ville,pour
33,7,2024-11-27 00:00:00,Quelques réserves sur la mise en œuvre,neutre
13,7,2024-11-20 00:00:00,"Très bonne idée, à développer davantage",neutre
23,7,2024-11-06 00:00:00,Important pour notre avenir écologique,abstention
22,7,2024-11-25 00:00:00,Je soutiens pleinement ce projet,contre
6,7,2024-11-10 00:00:00,"Très bonne idée, à développer davantage",pour
44,7,2024-11-01 00:00:00,Je soutiens pleinement ce projet,neutre
9,7,2024-11-22 00:00:00,Nécessite plus de concertation,abstention
26,7,2024-11-16 00:00:00,Important pour notre avenir écologique,abstention
48,7,2024-11-26 00:00:00,Je soutiens pleinement ce projet,neutre
